Id,Label
L. Santoro,L. Santoro
Depsa,Depsa
R. Musumarra,R. Musumarra
S. Seracini,S. Seracini
L. Baglioni,L. Baglioni
Enrico Nigiotti,Enrico Nigiotti
S. Fabiani,S. Fabiani
F. Battiato,F. Battiato
E. Bassi,E. Bassi
A. Vian,A. Vian
R. Cozzoli,R. Cozzoli
R. Serio,R. Serio
Sentacruz,Sentacruz
T. Iurcich,T. Iurcich
C. Chiodo,C. Chiodo
A. Di Zio,A. Di Zio
T. Maiello,T. Maiello
F. Palmieri,F. Palmieri
R. Gigli,R. Gigli
P. Bertoli,P. Bertoli
E. La Valle,E. La Valle
U. Fusco,U. Fusco
D.L. Pieretti,D.L. Pieretti
G. C. Testoni,G. C. Testoni
G. Paoli,G. Paoli
P. Barabani,P. Barabani
A. Carnevali,A. Carnevali
F. Morgia,F. Morgia
L. Valente,L. Valente
A. Ventura,A. Ventura
C. Ruggiero,C. Ruggiero
R. Frenneaux,R. Frenneaux
L. Patruno,L. Patruno
V. Pallavicini,V. Pallavicini
M. Luca,M. Luca
Daniele Silvestri,Daniele Silvestri
N. de Luca,N. de Luca
M. Castelnuovo,M. Castelnuovo
G. F. Reverberi,G. F. Reverberi
C. Lessona,C. Lessona
G. Ciarella,G. Ciarella
M. Telli,M. Telli
R. Maffoni,R. Maffoni
